model,initialDens,initialTemp,NH2,zeta,radfield,Av,rout
1,304298.6320313067,46.2935,6.55576e+21,76.37478487952829,11.54649043153155,4.0973500000000005,0.0054
2,376617.06971416663,208.2295,5.1388e+21,4.842281131968151,16.49111423190962,3.2117500000000003,0.0031
3,73807.4158420103,85.35650000000001,1.545496e+22,17.05885980315717,23.96348623695607,9.65935,0.0609
4,405041.9451364931,179.3455,1.1012560000000002e+22,100.89043626704277,40.50885799982058,6.88285,0.0076
5,87558.84014131156,191.0035,7.35496e+21,9.224652183079836,79.05876029986374,4.59685,0.0214
6,30570.32106987656,147.1265,1.3902640000000003e+22,194.73768369921683,59.190226245687825,8.689150000000001,0.1305
7,10076.274729014502,20.802500000000002,1.04668e+22,94.74362558554422,4.531583637600818,6.54175,0.2852
8,485623.8413914264,55.6025,4.5095200000000005e+21,35.7972776331635,496.1922765442062,2.8184500000000003,0.002
9,293562.1096191421,198.8625,1.478536e+22,489.046325344451,481.3378347438686,9.24085,0.0147
10,203563.54247857814,77.75850000000001,8.0188e+21,192.86348051457432,11.666752908720177,5.01175,0.0103
11,12499.711805783696,22.3395,3.0076e+21,27.098796275090656,159.8269456452422,1.87975,0.0366
12,18988.90842101364,114.1825,7.45e+21,19.451361266585717,1.2608110314032004,4.65625,0.0999
13,459938.749388997,33.533500000000004,6.682479999999999e+21,6.128440867429272,22.863883575787444,4.17655,0.0037
14,92193.43574515586,281.3675,1.013704e+22,270.7384885183078,14.694337144324924,6.33565,0.0301
15,103252.36310355214,176.12650000000002,1.003336e+22,90.02227831153435,6.08625297724272,6.27085,0.0266
16,153921.7526952459,21.875500000000002,9.208239999999999e+21,31.17812543803459,8.282281741943555,5.7551499999999995,0.0161
17,53567.32999763017,214.7545,1.165912e+22,151.96724840962514,15.964304395662616,7.28695,0.061
18,10377.67343070855,281.97650000000004,8.859759999999999e+21,100.75114721791972,411.1970591904096,5.53735,0.2268
19,19683.394644420518,66.10050000000001,1.0328560000000003e+22,29.62442980272566,73.17285494623265,6.455350000000001,0.1438
20,27321.214438784842,242.33350000000002,1.021192e+22,5.3969699506621165,1.3603479296836927,6.3824499999999995,0.1022
21,203095.35932282268,226.00650000000002,1.04812e+22,131.71947771235546,1.5151303578281894,6.55075,0.0143
22,20630.03667310707,260.74850000000004,1.10356e+22,2.08617146137123,219.45728396206115,6.89725,0.1483
23,300953.9168873204,262.9525,1.190248e+22,708.1903424268504,882.7749480928014,7.43905,0.0112
24,369913.34567034873,270.5795,1.52044e+22,204.38546149980374,695.584666774045,9.50275,0.012
25,18192.819052385497,150.95450000000002,3.6052000000000005e+21,155.14936413179956,47.549942926889756,2.2532500000000004,0.0358
26,78144.78488541828,116.87950000000001,1.52548e+22,8.72870869630423,1.0815584631500448,9.53425,0.0567
27,159037.66838224672,120.38850000000001,1.3084719999999998e+22,81.78054491655854,256.8916569808299,8.17795,0.0235
28,36702.8678481097,179.95450000000002,8.712879999999999e+21,96.26091821158492,1.1343576389435883,5.44555,0.0629
29,16447.503973914558,238.8535,1.037608e+22,3.724345819022207,921.4038020952707,6.48505,0.173
30,128026.53747653043,124.10050000000001,8.744559999999999e+21,927.7906681301887,227.0126194776191,5.46535,0.0182
31,375404.9544720844,93.50550000000001,1.1574160000000002e+22,386.14463034628875,12.553071427917253,7.23385,0.0087
32,20497.457754533985,274.0595,1.187224e+22,7.431046860606916,617.6607436768493,7.4201500000000005,0.1625
33,322181.05551771115,108.12150000000001,1.11364e+22,18.405600869594604,97.06217077668268,6.96025,0.0097
34,113841.34023961335,27.849500000000003,8.475280000000001e+21,142.7085521414302,145.19444466828568,5.2970500000000005,0.0197
35,586003.2167510559,257.5005,1.4938e+22,554.1789175047925,563.8323629983795,9.33625,0.0075
36,806677.6045948456,165.1355,1.593592e+22,10.11230127424215,518.262755777424,9.959950000000001,0.0059
37,67592.73194551455,76.2215,5.694639999999999e+21,347.4161474323922,2.7710859730855417,3.55915,0.0197
38,21842.38209137566,26.3995,6.810640000000001e+21,33.13217907523914,16.321121581456925,4.2566500000000005,0.0774
39,403180.94644346536,41.682500000000005,1.4344720000000002e+22,5.747116489127689,3.221439651880593,8.96545,0.0103
40,450297.98128808924,211.5355,1.379176e+22,807.5138875050874,8.073279719662505,8.61985,0.0089
41,40935.490632955945,222.8165,1.3066e+22,121.99723844350956,46.38205643661347,8.16625,0.0909
