model,HCO+-0.00,HCO+-178.37,HCO+-267.56,HCO+-356.73,HCO+-445.90,HCO+-535.06,HCO+-624.21,HCO+-713.34,HCO+-802.46,HCO+-89.19,HCO+-891.56,HCO+-980.64
1,0.0,2217.248752501254,2127.5082229800228,2026.5295439961667,1923.1146661960229,1804.9515750609285,1629.423829930967,1326.979562841183,875.0712580618308,2287.7742398415535,412.6428132486601,126.38084544692029
2,0.0,5412.780031443286,2817.320719235565,5.663417643291754e+60,1891.9572795480306,1.651473514225414e+121,1445.9168785296304,-4351.78632584371,1023.1710944911341,6187.790501837452,-3712.3613701088434,1457.9159869936716
3,0.0,4246.177197282178,4151.762149667941,4023.5530894240355,3876.2263919260745,3669.6786174293266,3381.7181467506157,2953.355634922672,2368.6905430048846,4320.124347561879,1671.6313482875944,979.5900884966183
4,0.0,7756.256067436544,6932.55592932308,3771.3800979785683,3.803196349478007e+116,2665.713998775659,-8154.34365273365,4230.388394425407,4738.673243599992,9046.294290048068,2365.365150420644,-4752.230246138594
5,0.0,8524.997247918916,8289.020546640064,7937.723265424183,7487.906841032307,6947.57549476001,6292.237334544383,5511.4684543108715,4629.82341160579,8700.332663142397,3664.7995654233005,2688.873389163778
6,0.0,6354.690757594481,6095.79990840145,5734.755927122418,5266.267993811445,4697.202691953479,4009.517235067541,3245.693452782371,2421.356542742853,6546.949034539087,1636.0753260515653,968.554998203606
7,0.0,58.674956600983066,16.767298146130226,4.514446873560155,0.8740609984270895,0.16235565187452528,0.026913658683917346,0.003666152033563414,0.0003192122696859512,131.83432665411792,2.179923197099833e-05,1.46139816532256e-06
8,0.0,2677.6070297846572,2633.384887316439,2481.2504372794633,2231.538844724721,1070.9953378734692,3.3987589375963214e+102,360.50277883809736,1.100226977477621e+130,2790.3359830566496,0.8059280684422618,-2572.5892593504923
9,0.0,3359.528075500368,1.7204975565743467e+56,2477.419029103575,4580.5998006683385,80403.37739544267,3391.830949302765,2743.827630700709,-5522.287486169717,5671.092791480093,2785.8325062506606,1600.2541117466665
10,0.0,3851.9454307705428,3756.774948603099,3627.848051197828,3482.3672404812323,3271.034900678556,2970.379328960351,2526.2623033876876,1932.2427096119463,3923.899472596574,1262.1474729353808,658.9451383908149
11,0.0,0.020234989938461588,0.004569853887023986,0.0009271381002524084,0.00018405251618784632,3.777957830367812e-05,7.135344437487047e-06,1.0917787263202216e-06,1.0273688439347258e-07,0.07002165779192077,8.042534025760727e-09,6.229616551342818e-10
12,0.0,4694.364136820974,4434.008661856656,4046.8692364702492,3552.036006772517,2965.8538903908493,2308.828490456208,1624.8578561229658,1000.3979477391676,4884.020834703711,529.2115424589734,244.11912126329557
13,0.0,1544.792078214822,1457.4911944631783,1363.4719410895607,1270.1596602921688,1170.8602065674331,1029.1375690663642,768.4688516791797,393.89547245818943,1612.5569923488563,117.95700673956159,26.947862296219185
14,0.0,1.498537974931272e+53,2264.250137828429,-2919.679014600977,5615.301683118036,7337.304960725264,7405.258270695734,6847.608722166193,5991.083037754806,1962.5740956564418,4987.795132965274,3916.989115674179
15,0.0,8291.1733164611,8088.420367270797,7796.419995508732,7417.158039296087,6955.183317990661,6372.26706366905,5668.20298578653,4835.9981834056925,8449.108781559795,3903.28323124978,2922.1050299769586
16,0.0,107.19935546074773,39.69233939292855,9.752925521181826,2.033091211679065,0.3979534205769967,0.06905604005752349,0.01005926398230413,0.0009985354560451132,190.1799849081056,7.821613624133521e-05,5.828104849218437e-06
17,0.0,4180.567405364774,2400.081878678505,-2646.9756748751333,4441.370458407984,5703.047393995021,5604.273728170282,4995.5323385613165,4159.750397002872,5059.923118355307,3224.1134054428594,2299.209394969191
18,0.0,1106.7778319439717,-1257.3225576420102,2982.748856197263,3550.562769556265,3267.8090033292224,2701.7443383360223,2039.9034945328808,1412.41029567194,1913.050311508168,894.2771181213355,527.4934397006324
19,0.0,3136.6952649872064,2987.3250033897816,2749.154129663068,2437.6432081682974,2007.5503126631152,1483.4779397673324,933.2812063957177,465.7457809627182,3219.745088433467,181.02917207925555,60.28285790322274
20,0.0,4.69977698108449e+62,-3444.535564124132,1276.3865210021772,-2311.0552285344993,3561.323870507563,4544.050572602504,4279.6874992383055,3601.602606807804,881.8616584179988,2755.803311447683,1921.6594239321971
21,0.0,5878.8601599490285,3453.1251912067764,8.758063739278611e+132,3978.1017466484845,2678.1990191352643,-4851.850305183881,1635.8999471922957,-4059.361778465033,7362.160309175457,3641.6973016436305,4661.554258078599
22,0.0,-1618.4561695836574,5335.993132665815,6318.959331174769,6173.129112387994,5642.434491128112,4911.184289732797,4059.5627657012055,3171.7398446097855,1746.547950050424,2309.604480431309,1542.252450936946
23,0.0,4265.916467475501,1.6941679426142063e+70,7142.206975329545,8338.507898432172,7091.765844849734,3924.8342625122405,-4893.752062409969,5428.548617384826,6457.180727529845,7200.049029054263,7135.407501050596
24,0.0,4430.753725686738,9.225678180991498e+59,6873.8990636091385,7513.227897106701,4176.481520496052,-6993.2118420936695,2462.334439499164,-6498.117250192605,7486.046682737374,2017.141023632929,-5123.742164823826
25,0.0,-936.6436880132926,-689.9879068969854,9.228482544419978e+49,3395.8605188697225,2637.9775134134284,1753.0058918844143,1182.3385858615734,688.3833714715133,-54.64383424490439,363.55990220252744,179.57261672653806
26,0.0,5831.414120474286,5720.851949642253,5565.002564336964,5362.077283393507,5095.992621366602,4733.479722775219,4237.2886947711795,3588.2238282786834,5926.703637491671,2810.8410019920407,1965.630735301841
27,0.0,6064.5934921316,5958.987242017348,5823.039455795581,5656.289562817338,5447.927844875853,5165.036324099897,4770.16029339278,4223.235055242449,6154.135612739996,3519.2393800367,2678.6210422506783
28,0.0,9.846867409122459e+116,2475.294149195417,1531.1365896561572,-2203.898480705391,2922.60063885267,3609.2645250968017,3265.4312720706444,2584.273173107355,1395.4929680097052,1820.7687999961781,1136.5711332978483
29,0.0,-1904.1385180647708,2265.7512012279353,1388.1762264859817,-1904.4608718468426,2961.5818454201667,3661.7319770784825,3324.5374164195355,2663.5197174883792,1285.0278353883339,1914.4524579751107,1239.2153433611777
30,0.0,6104.77620811808,5971.064441519013,5775.4228572661,5511.952495216314,5168.117685105803,4709.46761940571,4118.331504675589,3385.9029505094504,6224.916835390506,2563.000861483441,1722.3262331444425
31,0.0,4699.72263387823,4605.876583453639,4492.431472500896,4372.247760172635,4229.092261787146,4052.554591881988,3787.8541975259845,3390.213174557045,4775.6033041087285,2816.5701952036243,2083.1506827947037
32,0.0,-1703.759335126245,5726.05053591064,6817.051289138684,6704.167859753349,6178.476399262984,5440.884085815381,4574.063652985456,3654.0648114268847,1888.851888727713,2738.781738543603,1896.042353601387
33,0.0,4722.9608229543755,2743.7367117091317,1.5868198862684245e+86,3147.6765549215174,2275.9534920431483,-9749.039668880148,1348.630019000678,-6148.006514948721,5598.2932907319855,2264.884506490858,2788.5060798570657
34,0.0,180.6783494958999,79.15959134974,26.376879019315908,7.104995575186796,1.7683828086496147,0.4028634099821254,0.07927609541832507,0.011624077206825295,315.12788823184763,0.0014155503424249584,0.00016564862898712262
35,0.0,8767.109877310602,5007.135733925159,3.5452096696703314e+62,3895.327908426746,-10083.643755824174,5538.408016496515,4414.5910980329445,-7323.0085233038735,9783.511600265394,6077.336678421008,8233.453251878635
